Province/State,Country/Region,Lat,Long,period,confirmed,location
Thailand,Thailand,15.0,101.0,1/22/20,2,"15.0,101.0"
Japan,Japan,36.0,138.0,1/22/20,2,"36.0,138.0"
Singapore,Singapore,1.2833,103.8333,1/22/20,0,"1.2833,103.8333"
Nepal,Nepal,28.1667,84.25,1/22/20,0,"28.1667,84.25"
Malaysia,Malaysia,2.5,112.5,1/22/20,0,"2.5,112.5"
British Columbia,Canada,49.2827,-123.1207,1/22/20,0,"49.2827,-123.1207"
New South Wales,Australia,-33.8688,151.2093,1/22/20,0,"-33.8688,151.2093"
Victoria,Australia,-37.8136,144.9631,1/22/20,0,"-37.8136,144.9631"
Queensland,Australia,-28.0167,153.4,1/22/20,0,"-28.0167,153.4"
Cambodia,Cambodia,11.55,104.9167,1/22/20,0,"11.55,104.9167"
Sri Lanka,Sri Lanka,7.0,81.0,1/22/20,0,"7.0,81.0"
Germany,Germany,51.0,9.0,1/22/20,0,"51.0,9.0"
Finland,Finland,64.0,26.0,1/22/20,0,"64.0,26.0"
United Arab Emirates,United Arab Emirates,24.0,54.0,1/22/20,0,"24.0,54.0"
Philippines,Philippines,13.0,122.0,1/22/20,0,"13.0,122.0"
India,India,21.0,78.0,1/22/20,0,"21.0,78.0"
Italy,Italy,43.0,12.0,1/22/20,0,"43.0,12.0"
Sweden,Sweden,63.0,16.0,1/22/20,0,"63.0,16.0"
Spain,Spain,40.0,-4.0,1/22/20,0,"40.0,-4.0"
South Australia,Australia,-34.9285,138.6007,1/22/20,0,"-34.9285,138.6007"
Belgium,Belgium,50.8333,4.0,1/22/20,0,"50.8333,4.0"
Egypt,Egypt,26.0,30.0,1/22/20,0,"26.0,30.0"
From Diamond Princess,Australia,35.4437,139.638,1/22/20,0,"35.4437,139.638"
Lebanon,Lebanon,33.8547,35.8623,1/22/20,0,"33.8547,35.8623"
Iraq,Iraq,33.0,44.0,1/22/20,0,"33.0,44.0"
Oman,Oman,21.0,57.0,1/22/20,0,"21.0,57.0"
Afghanistan,Afghanistan,33.0,65.0,1/22/20,0,"33.0,65.0"
Bahrain,Bahrain,26.0275,50.55,1/22/20,0,"26.0275,50.55"
Kuwait,Kuwait,29.5,47.75,1/22/20,0,"29.5,47.75"
Algeria,Algeria,28.0339,1.6596,1/22/20,0,"28.0339,1.6596"
Croatia,Croatia,45.1,15.2,1/22/20,0,"45.1,15.2"
Switzerland,Switzerland,46.8182,8.2275,1/22/20,0,"46.8182,8.2275"
Austria,Austria,47.5162,14.5501,1/22/20,0,"47.5162,14.5501"
Israel,Israel,31.0,35.0,1/22/20,0,"31.0,35.0"
Pakistan,Pakistan,30.3753,69.3451,1/22/20,0,"30.3753,69.3451"
Brazil,Brazil,-14.235,-51.9253,1/22/20,0,"-14.235,-51.9253"
Georgia,Georgia,42.3154,43.3569,1/22/20,0,"42.3154,43.3569"
Greece,Greece,39.0742,21.8243,1/22/20,0,"39.0742,21.8243"
North Macedonia,North Macedonia,41.6086,21.7453,1/22/20,0,"41.6086,21.7453"
Norway,Norway,60.472,8.4689,1/22/20,0,"60.472,8.4689"
Romania,Romania,45.9432,24.9668,1/22/20,0,"45.9432,24.9668"
Estonia,Estonia,58.5953,25.0136,1/22/20,0,"58.5953,25.0136"
Netherlands,Netherlands,52.1326,5.2913,1/22/20,0,"52.1326,5.2913"
San Marino,San Marino,43.9424,12.4578,1/22/20,0,"43.9424,12.4578"
Belarus,Belarus,53.7098,27.9534,1/22/20,0,"53.7098,27.9534"
Iceland,Iceland,64.9631,-19.0208,1/22/20,0,"64.9631,-19.0208"
Lithuania,Lithuania,55.1694,23.8813,1/22/20,0,"55.1694,23.8813"
Mexico,Mexico,23.6345,-102.5528,1/22/20,0,"23.6345,-102.5528"
New Zealand,New Zealand,-40.9006,174.886,1/22/20,0,"-40.9006,174.886"
Nigeria,Nigeria,9.082,8.6753,1/22/20,0,"9.082,8.6753"
Western Australia,Australia,-31.9505,115.8605,1/22/20,0,"-31.9505,115.8605"
Ireland,Ireland,53.1424,-7.6921,1/22/20,0,"53.1424,-7.6921"
Luxembourg,Luxembourg,49.8153,6.1296,1/22/20,0,"49.8153,6.1296"
Monaco,Monaco,43.7333,7.4167,1/22/20,0,"43.7333,7.4167"
Qatar,Qatar,25.3548,51.1839,1/22/20,0,"25.3548,51.1839"
Ecuador,Ecuador,-1.8312,-78.1834,1/22/20,0,"-1.8312,-78.1834"
Azerbaijan,Azerbaijan,40.1431,47.5769,1/22/20,0,"40.1431,47.5769"
Armenia,Armenia,40.0691,45.0382,1/22/20,0,"40.0691,45.0382"
Dominican Republic,Dominican Republic,18.7357,-70.1627,1/22/20,0,"18.7357,-70.1627"
Indonesia,Indonesia,-0.7893,113.9213,1/22/20,0,"-0.7893,113.9213"
Portugal,Portugal,39.3999,-8.2245,1/22/20,0,"39.3999,-8.2245"
Andorra,Andorra,42.5063,1.5218,1/22/20,0,"42.5063,1.5218"
Tasmania,Australia,-41.4545,145.9707,1/22/20,0,"-41.4545,145.9707"
Latvia,Latvia,56.8796,24.6032,1/22/20,0,"56.8796,24.6032"
Morocco,Morocco,31.7917,-7.0926,1/22/20,0,"31.7917,-7.0926"
Saudi Arabia,Saudi Arabia,24.0,45.0,1/22/20,0,"24.0,45.0"
Senegal,Senegal,14.4974,-14.4524,1/22/20,0,"14.4974,-14.4524"
Argentina,Argentina,-38.4161,-63.6167,1/22/20,0,"-38.4161,-63.6167"
Chile,Chile,-35.6751,-71.543,1/22/20,0,"-35.6751,-71.543"
Jordan,Jordan,31.24,36.51,1/22/20,0,"31.24,36.51"
Ukraine,Ukraine,48.3794,31.1656,1/22/20,0,"48.3794,31.1656"
Hungary,Hungary,47.1625,19.5033,1/22/20,0,"47.1625,19.5033"
Northern Territory,Australia,-12.4634,130.8456,1/22/20,0,"-12.4634,130.8456"
Liechtenstein,Liechtenstein,47.14,9.55,1/22/20,0,"47.14,9.55"
Poland,Poland,51.9194,19.1451,1/22/20,0,"51.9194,19.1451"
Tunisia,Tunisia,34.0,9.0,1/22/20,0,"34.0,9.0"
Bosnia and Herzegovina,Bosnia and Herzegovina,43.9159,17.6791,1/22/20,0,"43.9159,17.6791"
Slovenia,Slovenia,46.1512,14.9955,1/22/20,0,"46.1512,14.9955"
South Africa,South Africa,-30.5595,22.9375,1/22/20,0,"-30.5595,22.9375"
Bhutan,Bhutan,27.5142,90.4336,1/22/20,0,"27.5142,90.4336"
Cameroon,Cameroon,3.8480000000000003,11.5021,1/22/20,0,"3.848,11.5021"
Colombia,Colombia,4.5709,-74.2973,1/22/20,0,"4.5709,-74.2973"
Costa Rica,Costa Rica,9.7489,-83.7534,1/22/20,0,"9.7489,-83.7534"
Peru,Peru,-9.19,-75.0152,1/22/20,0,"-9.19,-75.0152"
Serbia,Serbia,44.0165,21.0059,1/22/20,0,"44.0165,21.0059"
Slovakia,Slovakia,48.669,19.699,1/22/20,0,"48.669,19.699"
Togo,Togo,8.6195,0.8248,1/22/20,0,"8.6195,0.8248"
Malta,Malta,35.9375,14.3754,1/22/20,0,"35.9375,14.3754"
Martinique,Martinique,14.6415,-61.0242,1/22/20,0,"14.6415,-61.0242"
Bulgaria,Bulgaria,42.7339,25.4858,1/22/20,0,"42.7339,25.4858"
Maldives,Maldives,3.2028,73.2207,1/22/20,0,"3.2028,73.2207"
Bangladesh,Bangladesh,23.685,90.3563,1/22/20,0,"23.685,90.3563"
Paraguay,Paraguay,-23.4425,-58.4438,1/22/20,0,"-23.4425,-58.4438"
Ontario,Canada,51.2538,-85.3232,1/22/20,0,"51.2538,-85.3232"
Alberta,Canada,53.9333,-116.5765,1/22/20,0,"53.9333,-116.5765"
Quebec,Canada,52.9399,-73.5491,1/22/20,0,"52.9399,-73.5491"
Albania,Albania,41.1533,20.1683,1/22/20,0,"41.1533,20.1683"
Cyprus,Cyprus,35.1264,33.4299,1/22/20,0,"35.1264,33.4299"
Brunei,Brunei,4.5353,114.7277,1/22/20,0,"4.5353,114.7277"
Washington,US,47.4009,-121.4905,1/22/20,0,"47.4009,-121.4905"
New York,US,42.1657,-74.9481,1/22/20,0,"42.1657,-74.9481"
California,US,36.1162,-119.6816,1/22/20,0,"36.1162,-119.6816"
Massachusetts,US,42.2302,-71.5301,1/22/20,0,"42.2302,-71.5301"
Diamond Princess,US,35.4437,139.638,1/22/20,0,"35.4437,139.638"
Grand Princess,US,37.6489,-122.6655,1/22/20,0,"37.6489,-122.6655"
Georgia,US,33.0406,-83.6431,1/22/20,0,"33.0406,-83.6431"
Colorado,US,39.0598,-105.3111,1/22/20,0,"39.0598,-105.3111"
Florida,US,27.7663,-81.6868,1/22/20,0,"27.7663,-81.6868"
New Jersey,US,40.2989,-74.521,1/22/20,0,"40.2989,-74.521"
Oregon,US,44.571999999999996,-122.0709,1/22/20,0,"44.572,-122.0709"
Texas,US,31.0545,-97.5635,1/22/20,0,"31.0545,-97.5635"
Illinois,US,40.3495,-88.9861,1/22/20,0,"40.3495,-88.9861"
Pennsylvania,US,40.5908,-77.2098,1/22/20,0,"40.5908,-77.2098"
Iowa,US,42.0115,-93.2105,1/22/20,0,"42.0115,-93.2105"
Maryland,US,39.0639,-76.8021,1/22/20,0,"39.0639,-76.8021"
North Carolina,US,35.6301,-79.8064,1/22/20,0,"35.6301,-79.8064"
South Carolina,US,33.8569,-80.945,1/22/20,0,"33.8569,-80.945"
Tennessee,US,35.7478,-86.6923,1/22/20,0,"35.7478,-86.6923"
Virginia,US,37.7693,-78.17,1/22/20,0,"37.7693,-78.17"
Arizona,US,33.7298,-111.4312,1/22/20,0,"33.7298,-111.4312"
Indiana,US,39.8494,-86.2583,1/22/20,0,"39.8494,-86.2583"
Kentucky,US,37.6681,-84.6701,1/22/20,0,"37.6681,-84.6701"
District of Columbia,US,38.8974,-77.0268,1/22/20,0,"38.8974,-77.0268"
Nevada,US,38.3135,-117.0554,1/22/20,0,"38.3135,-117.0554"
New Hampshire,US,43.4525,-71.5639,1/22/20,0,"43.4525,-71.5639"
Minnesota,US,45.6945,-93.9002,1/22/20,0,"45.6945,-93.9002"
Nebraska,US,41.1254,-98.2681,1/22/20,0,"41.1254,-98.2681"
Ohio,US,40.3888,-82.7649,1/22/20,0,"40.3888,-82.7649"
Rhode Island,US,41.6809,-71.5118,1/22/20,0,"41.6809,-71.5118"
Wisconsin,US,44.2685,-89.6165,1/22/20,0,"44.2685,-89.6165"
Connecticut,US,41.5978,-72.7554,1/22/20,0,"41.5978,-72.7554"
Hawaii,US,21.0943,-157.4983,1/22/20,0,"21.0943,-157.4983"
Oklahoma,US,35.5653,-96.9289,1/22/20,0,"35.5653,-96.9289"
Utah,US,40.15,-111.8624,1/22/20,0,"40.15,-111.8624"
Burkina Faso,Burkina Faso,12.2383,-1.5616,1/22/20,0,"12.2383,-1.5616"
Holy See,Holy See,41.9029,12.4534,1/22/20,0,"41.9029,12.4534"
Mongolia,Mongolia,46.8625,103.8467,1/22/20,0,"46.8625,103.8467"
Panama,Panama,8.538,-80.7821,1/22/20,0,"8.538,-80.7821"
Kansas,US,38.5266,-96.7265,1/22/20,0,"38.5266,-96.7265"
Louisiana,US,31.1695,-91.8678,1/22/20,0,"31.1695,-91.8678"
Missouri,US,38.4561,-92.2884,1/22/20,0,"38.4561,-92.2884"
Vermont,US,44.0459,-72.7107,1/22/20,0,"44.0459,-72.7107"
Alaska,US,61.3707,-152.4044,1/22/20,0,"61.3707,-152.4044"
Arkansas,US,34.9697,-92.3731,1/22/20,0,"34.9697,-92.3731"
Delaware,US,39.3185,-75.5071,1/22/20,0,"39.3185,-75.5071"
Idaho,US,44.2405,-114.4788,1/22/20,0,"44.2405,-114.4788"
Maine,US,44.6939,-69.3819,1/22/20,0,"44.6939,-69.3819"
Michigan,US,43.3266,-84.5361,1/22/20,0,"43.3266,-84.5361"
Mississippi,US,32.7416,-89.6787,1/22/20,0,"32.7416,-89.6787"
Montana,US,46.9219,-110.4544,1/22/20,0,"46.9219,-110.4544"
New Mexico,US,34.8405,-106.2485,1/22/20,0,"34.8405,-106.2485"
North Dakota,US,47.5289,-99.78399999999999,1/22/20,0,"47.5289,-99.784"
South Dakota,US,44.2998,-99.4388,1/22/20,0,"44.2998,-99.4388"
West Virginia,US,38.4912,-80.9545,1/22/20,0,"38.4912,-80.9545"
Wyoming,US,42.756,-107.3025,1/22/20,0,"42.756,-107.3025"
Hubei,China,30.9756,112.2707,1/22/20,444,"30.9756,112.2707"
Iran,Iran,32.0,53.0,1/22/20,0,"32.0,53.0"
"Korea, South","Korea, South",36.0,128.0,1/22/20,1,"36.0,128.0"
France,France,46.2276,2.2137,1/22/20,0,"46.2276,2.2137"
Guangdong,China,23.3417,113.4244,1/22/20,26,"23.3417,113.4244"
Henan,China,33.882,113.61399999999999,1/22/20,5,"33.882,113.614"
Zhejiang,China,29.1832,120.0934,1/22/20,10,"29.1832,120.0934"
Hunan,China,27.6104,111.7088,1/22/20,4,"27.6104,111.7088"
Anhui,China,31.8257,117.2264,1/22/20,1,"31.8257,117.2264"
Jiangxi,China,27.614,115.7221,1/22/20,2,"27.614,115.7221"
Shandong,China,36.3427,118.1498,1/22/20,2,"36.3427,118.1498"
Diamond Princess,Cruise Ship,35.4437,139.638,1/22/20,0,"35.4437,139.638"
Jiangsu,China,32.9711,119.455,1/22/20,1,"32.9711,119.455"
Chongqing,China,30.0572,107.874,1/22/20,6,"30.0572,107.874"
Sichuan,China,30.6171,102.7103,1/22/20,5,"30.6171,102.7103"
Heilongjiang,China,47.861999999999995,127.7615,1/22/20,0,"47.862,127.7615"
Denmark,Denmark,56.2639,9.5018,1/22/20,0,"56.2639,9.5018"
Beijing,China,40.1824,116.4142,1/22/20,14,"40.1824,116.4142"
Shanghai,China,31.201999999999998,121.4491,1/22/20,9,"31.202,121.4491"
Hebei,China,39.549,116.1306,1/22/20,1,"39.549,116.1306"
Fujian,China,26.0789,117.9874,1/22/20,1,"26.0789,117.9874"
Guangxi,China,23.8298,108.7881,1/22/20,2,"23.8298,108.7881"
Shaanxi,China,35.1917,108.8701,1/22/20,0,"35.1917,108.8701"
Yunnan,China,24.974,101.48700000000001,1/22/20,1,"24.974,101.487"
Hainan,China,19.1959,109.7453,1/22/20,4,"19.1959,109.7453"
Guizhou,China,26.8154,106.8748,1/22/20,1,"26.8154,106.8748"
Tianjin,China,39.3054,117.323,1/22/20,4,"39.3054,117.323"
Shanxi,China,37.5777,112.2922,1/22/20,1,"37.5777,112.2922"
Gansu,China,37.8099,101.0583,1/22/20,0,"37.8099,101.0583"
Hong Kong,China,22.3,114.2,1/22/20,0,"22.3,114.2"
Liaoning,China,41.2956,122.6085,1/22/20,2,"41.2956,122.6085"
Jilin,China,43.6661,126.1923,1/22/20,0,"43.6661,126.1923"
Czechia,Czechia,49.8175,15.472999999999999,1/22/20,0,"49.8175,15.473"
Xinjiang,China,41.1129,85.2401,1/22/20,0,"41.1129,85.2401"
Inner Mongolia,China,44.0935,113.9448,1/22/20,0,"44.0935,113.9448"
Ningxia,China,37.2692,106.1655,1/22/20,1,"37.2692,106.1655"
Taiwan*,Taiwan*,23.7,121.0,1/22/20,1,"23.7,121.0"
Vietnam,Vietnam,16.0,108.0,1/22/20,0,"16.0,108.0"
Russia,Russia,60.0,90.0,1/22/20,0,"60.0,90.0"
Qinghai,China,35.7452,95.9956,1/22/20,0,"35.7452,95.9956"
Macau,China,22.1667,113.55,1/22/20,1,"22.1667,113.55"
Moldova,Moldova,47.4116,28.3699,1/22/20,0,"47.4116,28.3699"
Bolivia,Bolivia,-16.2902,-63.5887,1/22/20,0,"-16.2902,-63.5887"
Faroe Islands,Denmark,61.8926,-6.9118,1/22/20,0,"61.8926,-6.9118"
St Martin,France,18.0708,-63.0501,1/22/20,0,"18.0708,-63.0501"
Honduras,Honduras,15.2,-86.2419,1/22/20,0,"15.2,-86.2419"
Channel Islands,United Kingdom,49.3723,-2.3644,1/22/20,0,"49.3723,-2.3644"
New Brunswick,Canada,46.5653,-66.4619,1/22/20,0,"46.5653,-66.4619"
Tibet,China,31.6927,88.0924,1/22/20,0,"31.6927,88.0924"
Congo (Kinshasa),Congo (Kinshasa),-4.0383,21.7587,1/22/20,0,"-4.0383,21.7587"
Cote d'Ivoire,Cote d'Ivoire,7.54,-5.5471,1/22/20,0,"7.54,-5.5471"
Saint Barthelemy,France,17.9,-62.8333,1/22/20,0,"17.9,-62.8333"
Jamaica,Jamaica,18.1096,-77.2975,1/22/20,0,"18.1096,-77.2975"
Reunion,Reunion,-21.1151,55.5364,1/22/20,0,"-21.1151,55.5364"
Turkey,Turkey,38.9637,35.2433,1/22/20,0,"38.9637,35.2433"
Gibraltar,United Kingdom,36.1408,-5.3536,1/22/20,0,"36.1408,-5.3536"
"Kitsap, WA",US,47.6477,-122.6413,1/22/20,0,"47.6477,-122.6413"
"Solano, CA",US,38.3105,-121.9018,1/22/20,0,"38.3105,-121.9018"
"Santa Cruz, CA",US,37.0454,-121.958,1/22/20,0,"37.0454,-121.958"
"Napa, CA",US,38.5025,-122.2654,1/22/20,0,"38.5025,-122.2654"
"Ventura, CA",US,34.3705,-119.1391,1/22/20,0,"34.3705,-119.1391"
"Worcester, MA",US,42.4097,-71.8571,1/22/20,0,"42.4097,-71.8571"
"Gwinnett, GA",US,33.9191,-84.0167,1/22/20,0,"33.9191,-84.0167"
"DeKalb, GA",US,33.7956,-84.2279,1/22/20,0,"33.7956,-84.2279"
"Floyd, GA",US,37.5455,-82.7779,1/22/20,0,"37.5455,-82.7779"
"Fayette, GA",US,33.4502,-84.4803,1/22/20,0,"33.4502,-84.4803"
"Gregg, TX",US,32.4893,-94.8521,1/22/20,0,"32.4893,-94.8521"
"Monmouth, NJ",US,40.2589,-74.124,1/22/20,0,"40.2589,-74.124"
"Burlington, NJ",US,40.0712,-74.8649,1/22/20,0,"40.0712,-74.8649"
"Camden, NJ",US,39.9259,-75.1196,1/22/20,0,"39.9259,-75.1196"
"Passaic, NJ",US,40.8568,-74.1285,1/22/20,0,"40.8568,-74.1285"
"Union, NJ",US,40.6976,-74.2632,1/22/20,0,"40.6976,-74.2632"
"Eagle, CO",US,39.6553,-106.8287,1/22/20,0,"39.6553,-106.8287"
"Larimer, CO",US,40.6956,-105.5943,1/22/20,0,"40.6956,-105.5943"
"Arapahoe, CO",US,39.6203,-104.3326,1/22/20,0,"39.6203,-104.3326"
"Gunnison, CO",US,38.5458,-106.9253,1/22/20,0,"38.5458,-106.9253"
"Kane, IL",US,41.9879,-88.4016,1/22/20,0,"41.9879,-88.4016"
"Monroe, PA",US,41.0458,-75.2479,1/22/20,0,"41.0458,-75.2479"
"Philadelphia, PA",US,39.9526,-75.1652,1/22/20,0,"39.9526,-75.1652"
"Norfolk, VA",US,36.8508,-76.2859,1/22/20,0,"36.8508,-76.2859"
"Arlington, VA",US,38.8816,-77.09100000000001,1/22/20,0,"38.8816,-77.091"
"Spotsylvania, VA",US,38.2042,-77.6078,1/22/20,0,"38.2042,-77.6078"
"Loudoun, VA",US,39.0768,-77.6536,1/22/20,0,"39.0768,-77.6536"
"Prince George's, MD",US,38.7849,-76.8721,1/22/20,0,"38.7849,-76.8721"
"Pottawattamie, IA",US,41.3912,-95.4778,1/22/20,0,"41.3912,-95.4778"
"Camden, NC",US,34.2465,-80.607,1/22/20,0,"34.2465,-80.607"
"Pima, AZ",US,32.0575,-111.6661,1/22/20,0,"32.0575,-111.6661"
"Noble, IN",US,41.4277,-85.355,1/22/20,0,"41.4277,-85.355"
"Adams, IN",US,39.8522,-77.2865,1/22/20,0,"39.8522,-77.2865"
"Boone, IN",US,40.0106,-86.4997,1/22/20,0,"40.0106,-86.4997"
"Dane, WI",US,43.0186,-89.5498,1/22/20,0,"43.0186,-89.5498"
"Pierce, WI",US,44.7509,-92.3814,1/22/20,0,"44.7509,-92.3814"
"Cuyahoga, OH",US,41.4339,-81.6758,1/22/20,0,"41.4339,-81.6758"
"Weber, UT",US,41.2603,-111.9522,1/22/20,0,"41.2603,-111.9522"
"Bennington County, VT",US,43.0279,-73.135,1/22/20,0,"43.0279,-73.135"
"Carver County, MN",US,44.8254,-93.7842,1/22/20,0,"44.8254,-93.7842"
"Charlotte County, FL",US,26.8946,-81.9098,1/22/20,0,"26.8946,-81.9098"
"Cherokee County, GA",US,34.2515,-84.4803,1/22/20,0,"34.2515,-84.4803"
"Collin County, TX",US,33.1795,-96.493,1/22/20,0,"33.1795,-96.493"
"Jefferson County, KY",US,38.1938,-85.6435,1/22/20,0,"38.1938,-85.6435"
"Jefferson Parish, LA",US,29.6499,-90.1121,1/22/20,0,"29.6499,-90.1121"
"Shasta County, CA",US,40.7909,-121.8474,1/22/20,0,"40.7909,-121.8474"
"Spartanburg County, SC",US,34.8606,-81.9535,1/22/20,0,"34.8606,-81.9535"
"Harrison County, KY",US,38.4333,-84.3542,1/22/20,0,"38.4333,-84.3542"
"Johnson County, IA",US,41.6699,-91.5984,1/22/20,0,"41.6699,-91.5984"
"Berkshire County, MA",US,42.3118,-73.1822,1/22/20,0,"42.3118,-73.1822"
"Davidson County, TN",US,36.1343,-86.822,1/22/20,0,"36.1343,-86.822"
"Douglas County, OR",US,43.1261,-123.2492,1/22/20,0,"43.1261,-123.2492"
"Fresno County, CA",US,36.9859,-119.2321,1/22/20,0,"36.9859,-119.2321"
"Harford County, MD",US,39.5839,-76.3637,1/22/20,0,"39.5839,-76.3637"
"Hendricks County, IN",US,39.8065,-86.5401,1/22/20,0,"39.8065,-86.5401"
"Hudson County, NJ",US,40.7453,-74.0535,1/22/20,0,"40.7453,-74.0535"
"Johnson County, KS",US,38.8454,-94.8521,1/22/20,0,"38.8454,-94.8521"
"Kittitas County, WA",US,47.175,-120.9319,1/22/20,0,"47.175,-120.9319"
"Manatee County, FL",US,27.4799,-82.3452,1/22/20,0,"27.4799,-82.3452"
"Marion County, OR",US,44.8446,-122.5927,1/22/20,0,"44.8446,-122.5927"
"Okaloosa County, FL",US,30.5773,-86.6611,1/22/20,0,"30.5773,-86.6611"
"Polk County, GA",US,34.0132,-85.1479,1/22/20,0,"34.0132,-85.1479"
"Riverside County, CA",US,33.9533,-117.3961,1/22/20,0,"33.9533,-117.3961"
"Shelby County, TN",US,35.1269,-89.9253,1/22/20,0,"35.1269,-89.9253"
"St. Louis County, MO",US,38.6103,-90.4125,1/22/20,0,"38.6103,-90.4125"
"Suffolk County, NY",US,40.9849,-72.6151,1/22/20,0,"40.9849,-72.6151"
"Ulster County, NY",US,41.8586,-74.3118,1/22/20,0,"41.8586,-74.3118"
"Volusia County, FL",US,29.028000000000002,-81.0755,1/22/20,0,"29.028,-81.0755"
"Fairfax County, VA",US,38.9085,-77.2405,1/22/20,0,"38.9085,-77.2405"
"Rockingham County, NH",US,42.9931,-71.0498,1/22/20,0,"42.9931,-71.0498"
"Washington, D.C.",US,38.9072,-77.0369,1/22/20,0,"38.9072,-77.0369"
"Montgomery County, PA",US,40.229,-75.3879,1/22/20,0,"40.229,-75.3879"
"Alameda County, CA",US,37.6017,-121.7195,1/22/20,0,"37.6017,-121.7195"
"Broward County, FL",US,26.1901,-80.3659,1/22/20,0,"26.1901,-80.3659"
"Lee County, FL",US,26.663,-81.9535,1/22/20,0,"26.663,-81.9535"
"Pinal County, AZ",US,32.8162,-111.2845,1/22/20,0,"32.8162,-111.2845"
"Rockland County, NY",US,41.1489,-73.983,1/22/20,0,"41.1489,-73.983"
"Saratoga County, NY",US,43.0324,-73.936,1/22/20,0,"43.0324,-73.936"
"Charleston County, SC",US,32.7957,-79.7848,1/22/20,0,"32.7957,-79.7848"
"Clark County, WA",US,45.7466,-122.5194,1/22/20,0,"45.7466,-122.5194"
"Cobb County, GA",US,33.8999,-84.5641,1/22/20,0,"33.8999,-84.5641"
"Davis County, UT",US,40.9629,-112.0953,1/22/20,0,"40.9629,-112.0953"
"El Paso County, CO",US,38.9108,-104.4723,1/22/20,0,"38.9108,-104.4723"
"Honolulu County, HI",US,21.307,-157.8584,1/22/20,0,"21.307,-157.8584"
"Jackson County, OR ",US,42.3345,-122.7647,1/22/20,0,"42.3345,-122.7647"
"Jefferson County, WA",US,47.7425,-123.304,1/22/20,0,"47.7425,-123.304"
"Kershaw County, SC",US,34.3672,-80.5883,1/22/20,0,"34.3672,-80.5883"
"Klamath County, OR",US,42.6953,-121.6142,1/22/20,0,"42.6953,-121.6142"
"Madera County, CA",US,37.2519,-119.6963,1/22/20,0,"37.2519,-119.6963"
"Pierce County, WA",US,47.0676,-122.1295,1/22/20,0,"47.0676,-122.1295"
"Tulsa County, OK",US,36.1593,-95.941,1/22/20,0,"36.1593,-95.941"
"Douglas County, CO",US,39.2587,-104.9389,1/22/20,0,"39.2587,-104.9389"
"Providence County, RI",US,41.8882,-71.4774,1/22/20,0,"41.8882,-71.4774"
"Chatham County, NC",US,35.7211,-79.1781,1/22/20,0,"35.7211,-79.1781"
"Delaware County, PA",US,39.9078,-75.3879,1/22/20,0,"39.9078,-75.3879"
"Douglas County, NE",US,41.3148,-96.1951,1/22/20,0,"41.3148,-96.1951"
"Fayette County, KY",US,38.0606,-84.4803,1/22/20,0,"38.0606,-84.4803"
"Marion County, IN",US,39.8362,-86.1752,1/22/20,0,"39.8362,-86.1752"
"Middlesex County, MA",US,42.4672,-71.2874,1/22/20,0,"42.4672,-71.2874"
"Nassau County, NY",US,40.6546,-73.5594,1/22/20,0,"40.6546,-73.5594"
"Ramsey County, MN",US,44.9964,-93.0616,1/22/20,0,"44.9964,-93.0616"
"Washoe County, NV",US,40.5608,-119.6035,1/22/20,0,"40.5608,-119.6035"
"Wayne County, PA",US,41.6739,-75.2479,1/22/20,0,"41.6739,-75.2479"
"Yolo County, CA",US,38.7646,-121.9018,1/22/20,0,"38.7646,-121.9018"
"Santa Clara County, CA",US,37.3541,-121.9552,1/22/20,0,"37.3541,-121.9552"
"Clark County, NV",US,36.0796,-115.094,1/22/20,0,"36.0796,-115.094"
"Fort Bend County, TX",US,29.5693,-95.8143,1/22/20,0,"29.5693,-95.8143"
"Grant County, WA",US,47.1981,-119.3732,1/22/20,0,"47.1981,-119.3732"
"Santa Rosa County, FL",US,30.769000000000002,-86.9824,1/22/20,0,"30.769,-86.9824"
"Williamson County, TN",US,35.9179,-86.8622,1/22/20,0,"35.9179,-86.8622"
"New York County, NY",US,40.7128,-74.006,1/22/20,0,"40.7128,-74.006"
"Montgomery County, MD",US,39.1547,-77.2405,1/22/20,0,"39.1547,-77.2405"
"Suffolk County, MA",US,42.3601,-71.0589,1/22/20,0,"42.3601,-71.0589"
"Denver County, CO",US,39.7392,-104.9903,1/22/20,0,"39.7392,-104.9903"
"Summit County, CO",US,39.5912,-106.064,1/22/20,0,"39.5912,-106.064"
"Bergen County, NJ",US,40.9263,-74.077,1/22/20,0,"40.9263,-74.077"
"Harris County, TX",US,29.7752,-95.3103,1/22/20,0,"29.7752,-95.3103"
"San Francisco County, CA",US,37.7749,-122.4194,1/22/20,0,"37.7749,-122.4194"
"Contra Costa County, CA",US,37.8534,-121.9018,1/22/20,0,"37.8534,-121.9018"
"Orange County, CA",US,33.7879,-117.8531,1/22/20,0,"33.7879,-117.8531"
"Norfolk County, MA",US,42.1767,-71.1449,1/22/20,0,"42.1767,-71.1449"
"Maricopa County, AZ",US,33.2918,-112.4291,1/22/20,0,"33.2918,-112.4291"
"Wake County, NC",US,35.8032,-78.5661,1/22/20,0,"35.8032,-78.5661"
"Westchester County, NY",US,41.122,-73.7949,1/22/20,0,"41.122,-73.7949"
"Grafton County, NH",US,43.9088,-71.82600000000001,1/22/20,0,"43.9088,-71.826"
"Hillsborough, FL",US,27.9904,-82.3018,1/22/20,0,"27.9904,-82.3018"
"Placer County, CA",US,39.0916,-120.8039,1/22/20,0,"39.0916,-120.8039"
